REWARD PER EPISODE FOR SARSA
Reward for episode 637: 77.
Reward for episode 638: 75.
Reward for episode 639: 77.
Reward for episode 640: 77.
Reward for episode 641: -594.
Reward for episode 642: -1050.
Reward for episode 643: -1150.
Reward for episode 644: -1000.
Reward for episode 645: -298.
Reward for episode 646: -1050.
Reward for episode 647: 75.
Reward for episode 648: 4.
Reward for episode 649: 60.
Reward for episode 650: 48.
Reward for episode 651: -530.
Reward for episode 652: -600.
Reward for episode 653: 12.
Reward for episode 654: -88.
Reward for episode 655: -242.
Reward for episode 656: 75.
Reward for episode 657: 75.
Reward for episode 658: -543.
Reward for episode 659: -398.
Reward for episode 660: -251.
Reward for episode 661: -565.
Reward for episode 662: -1000.
Reward for episode 663: -651.
Reward for episode 664: -1000.
Reward for episode 665: -1000.
Reward for episode 666: -1000.
Reward for episode 667: -1000.
Reward for episode 668: -1000.
Reward for episode 669: -873.
Reward for episode 670: -92.
Reward for episode 671: 77.
Reward for episode 672: -417.
Reward for episode 673: 77.
Reward for episode 674: 77.
Reward for episode 675: 73.
Reward for episode 676: 16.
Reward for episode 677: -591.
Reward for episode 678: -416.
Reward for episode 679: 72.
Reward for episode 680: 5.
Reward for episode 681: 8.
Reward for episode 682: 72.
Reward for episode 683: 78.
Reward for episode 684: -284.
Reward for episode 685: 83.
Reward for episode 686: 73.
Reward for episode 687: 83.
Reward for episode 688: -122.
Reward for episode 689: -822.
Reward for episode 690: 55.
Reward for episode 691: -9.
Reward for episode 692: 83.
Reward for episode 693: -182.
Reward for episode 694: 77.
Reward for episode 695: 77.
Reward for episode 696: 27.
Reward for episode 697: 48.
Reward for episode 698: -137.
Reward for episode 699: 76.
Reward for episode 700: 81.
Reward for episode 701: 15.
Reward for episode 702: 80.
Reward for episode 703: 33.
Reward for episode 704: 5.
Reward for episode 705: -203.
Reward for episode 706: -247.
Reward for episode 707: -1150.
Reward for episode 708: -1000.
Reward for episode 709: -1000.
Reward for episode 710: -1050.
Reward for episode 711: -88.
Reward for episode 712: -136.
Reward for episode 713: 63.
Reward for episode 714: 69.
Reward for episode 715: 70.
Reward for episode 716: 61.
Reward for episode 717: -400.
Reward for episode 718: -1000.
Reward for episode 719: -91.
Reward for episode 720: -85.
Reward for episode 721: 29.
Reward for episode 722: -111.
Reward for episode 723: -358.
Reward for episode 724: -608.
Reward for episode 725: -35.
Reward for episode 726: -80.
Reward for episode 727: 71.
Reward for episode 728: -325.
Reward for episode 729: -294.
Reward for episode 730: -939.
Reward for episode 731: 22.
Reward for episode 732: -41.
Reward for episode 733: -62.
Reward for episode 734: 8.
Reward for episode 735: 39.
Reward for episode 736: 76.
Reward for episode 737: -376.
Reward for episode 738: -277.
Reward for episode 739: -111.
Reward for episode 740: -1000.
Reward for episode 741: -214.
Reward for episode 742: -1000.
Reward for episode 743: -1000.
Reward for episode 744: -577.
Reward for episode 745: -203.
Reward for episode 746: -459.
Reward for episode 747: -74.
Reward for episode 748: -219.
Reward for episode 749: 2.
Reward for episode 750: -247.
Reward for episode 751: 73.
Reward for episode 752: 73.
Reward for episode 753: 73.
Reward for episode 754: 65.
Reward for episode 755: 73.
Reward for episode 756: 73.
Reward for episode 757: 73.
Reward for episode 758: 73.
Reward for episode 759: 73.
Reward for episode 760: 73.
Reward for episode 761: 73.
Reward for episode 762: 73.
Reward for episode 763: 73.
Reward for episode 764: 73.
Reward for episode 765: 73.
Reward for episode 766: 73.
Reward for episode 767: 71.
Reward for episode 768: 59.
Reward for episode 769: 73.
Reward for episode 770: 73.
Reward for episode 771: 73.
Reward for episode 772: 73.
Reward for episode 773: 71.
Reward for episode 774: 73.
Reward for episode 775: 73.
Reward for episode 776: 73.
Reward for episode 777: 73.
Reward for episode 778: 73.
Reward for episode 779: 73.
Reward for episode 780: 69.
Reward for episode 781: 73.
Reward for episode 782: 73.
Reward for episode 783: 72.
Reward for episode 784: 73.
Reward for episode 785: -427.
Reward for episode 786: 9.
Reward for episode 787: -1050.
Reward for episode 788: -1000.
Reward for episode 789: -1050.
Reward for episode 790: -1000.
Reward for episode 791: -1000.
Reward for episode 792: -1000.
Reward for episode 793: -1000.
Reward for episode 794: -1000.
Reward for episode 795: -1000.
Reward for episode 796: -1000.
Reward for episode 797: 38.
Reward for episode 798: -1000.
Reward for episode 799: -1050.
Reward for episode 800: -220.
Reward for episode 801: -1050.
Reward for episode 802: -1000.
Reward for episode 803: -1000.
Reward for episode 804: -32.
Reward for episode 805: -1000.
Reward for episode 806: -1000.
Reward for episode 807: -1000.
Reward for episode 808: -1000.
Reward for episode 809: -1000.
Reward for episode 810: -1000.
Reward for episode 811: -1000.
Reward for episode 812: -1000.
Reward for episode 813: -1000.
Reward for episode 814: -1050.
Reward for episode 815: -1000.
Reward for episode 816: -1000.
Reward for episode 817: -1000.
Reward for episode 818: -1000.
Reward for episode 819: -1000.
Reward for episode 820: -1000.
Reward for episode 821: -1000.
Reward for episode 822: -1050.
Reward for episode 823: -1000.
Reward for episode 824: -1000.
Reward for episode 825: -1000.
Reward for episode 826: -1000.
Reward for episode 827: -1000.
Reward for episode 828: -1100.
Reward for episode 829: -1000.
Reward for episode 830: -1000.
Reward for episode 831: -1000.
Reward for episode 832: -1000.
Reward for episode 833: -1000.
Reward for episode 834: -1000.
Reward for episode 835: -1000.
Reward for episode 836: -1000.
Reward for episode 837: -1000.
Reward for episode 838: -1050.
Reward for episode 839: -1000.
Reward for episode 840: -1000.
Reward for episode 841: -1000.
Reward for episode 842: -1000.
Reward for episode 843: -1000.
Reward for episode 844: -1000.
Reward for episode 845: -1000.
Reward for episode 846: -1000.
Reward for episode 847: -1000.
Reward for episode 848: -1000.
Reward for episode 849: -1000.
Reward for episode 850: -1000.
Reward for episode 851: -1000.
Reward for episode 852: -1000.
Reward for episode 853: -1000.
Reward for episode 854: -1000.
Reward for episode 855: -1100.
Reward for episode 856: -1000.
Reward for episode 857: -1000.
Reward for episode 858: -1050.
Reward for episode 859: -89.
Reward for episode 860: -1000.
Reward for episode 861: -1000.
Reward for episode 862: -1000.
Reward for episode 863: -1000.
Reward for episode 864: -1000.
Reward for episode 865: 42.
Reward for episode 866: -1000.
Reward for episode 867: -1000.
Reward for episode 868: -1000.
Reward for episode 869: -1000.
Reward for episode 870: -1000.
Reward for episode 871: -1000.
Reward for episode 872: -1050.
Reward for episode 873: -1000.
Reward for episode 874: -1000.
Reward for episode 875: -1000.
Reward for episode 876: -1000.
Reward for episode 877: -1000.
Reward for episode 878: -1000.
Reward for episode 879: -100.
Reward for episode 880: -922.
Reward for episode 881: 72.
Reward for episode 882: -155.
Reward for episode 883: 9.
Reward for episode 884: -422.
Reward for episode 885: -741.
Reward for episode 886: -1000.
Reward for episode 887: -721.
Reward for episode 888: -1000.
Reward for episode 889: -1000.
Reward for episode 890: -1000.
Reward for episode 891: -1000.
Reward for episode 892: -1100.
Reward for episode 893: -1050.
Reward for episode 894: -1000.
Reward for episode 895: -1050.
Reward for episode 896: -781.
Reward for episode 897: -1000.
Reward for episode 898: -383.
Reward for episode 899: -476.
Reward for episode 900: 73.
Reward for episode 901: 73.
Reward for episode 902: 73.
Reward for episode 903: 73.
Reward for episode 904: 73.
Reward for episode 905: 73.
Reward for episode 906: 73.
Reward for episode 907: 72.
Reward for episode 908: -218.
Reward for episode 909: -1050.
Reward for episode 910: -1000.
Reward for episode 911: -1000.
Reward for episode 912: -1000.
Reward for episode 913: -451.
Reward for episode 914: -115.
Reward for episode 915: -492.
Reward for episode 916: -170.
Reward for episode 917: -156.
Reward for episode 918: -788.
Reward for episode 919: -354.
Reward for episode 920: 19.
Reward for episode 921: 65.
Reward for episode 922: 68.
Reward for episode 923: 73.
Reward for episode 924: 73.
Reward for episode 925: 73.
Reward for episode 926: 73.
Reward for episode 927: 73.
Reward for episode 928: 73.
Reward for episode 929: 73.
Reward for episode 930: 73.
Reward for episode 931: -74.
Reward for episode 932: 13.
Reward for episode 933: -1.
Reward for episode 934: -498.
Reward for episode 935: 75.
Reward for episode 936: 75.
Reward for episode 937: 75.
Reward for episode 938: 75.
Reward for episode 939: 75.
Reward for episode 940: 75.
Reward for episode 941: 75.
Reward for episode 942: 75.
Reward for episode 943: 77.
Reward for episode 944: 75.
Reward for episode 945: -403.
Reward for episode 946: 75.
Reward for episode 947: -94.
Reward for episode 948: 75.
Reward for episode 949: 29.
Reward for episode 950: 75.
Reward for episode 951: 75.
Reward for episode 952: 75.
Reward for episode 953: 75.
Reward for episode 954: 75.
Reward for episode 955: 75.
Reward for episode 956: 75.
Reward for episode 957: 75.
Reward for episode 958: 75.
Reward for episode 959: 75.
Reward for episode 960: 75.
Reward for episode 961: 73.
Reward for episode 962: 75.
