REWARD PER EPISODE FOR Q-LEARNING
Reward for episode 686: 89.
Reward for episode 687: 91.
Reward for episode 688: 89.
Reward for episode 689: 90.
Reward for episode 690: 89.
Reward for episode 691: 87.
Reward for episode 692: 89.
Reward for episode 693: 90.
Reward for episode 694: 89.
Reward for episode 695: 91.
Reward for episode 696: 87.
Reward for episode 697: 90.
Reward for episode 698: 89.
Reward for episode 699: 90.
Reward for episode 700: 76.
Reward for episode 701: 89.
Reward for episode 702: 73.
Reward for episode 703: 70.
Reward for episode 704: 89.
Reward for episode 705: 70.
Reward for episode 706: 89.
Reward for episode 707: 89.
Reward for episode 708: 89.
Reward for episode 709: 87.
Reward for episode 710: 87.
Reward for episode 711: 83.
Reward for episode 712: 90.
Reward for episode 713: 88.
Reward for episode 714: 79.
Reward for episode 715: 85.
Reward for episode 716: 56.
Reward for episode 717: 88.
Reward for episode 718: 91.
Reward for episode 719: 90.
Reward for episode 720: 89.
Reward for episode 721: 89.
Reward for episode 722: 89.
Reward for episode 723: 91.
Reward for episode 724: 89.
Reward for episode 725: 89.
Reward for episode 726: 90.
Reward for episode 727: 91.
Reward for episode 728: 89.
Reward for episode 729: 90.
Reward for episode 730: 91.
Reward for episode 731: 91.
Reward for episode 732: 91.
Reward for episode 733: 90.
Reward for episode 734: 91.
Reward for episode 735: 88.
Reward for episode 736: 90.
Reward for episode 737: 90.
Reward for episode 738: 90.
Reward for episode 739: 91.
Reward for episode 740: 88.
Reward for episode 741: 91.
Reward for episode 742: 90.
Reward for episode 743: 91.
Reward for episode 744: 89.
Reward for episode 745: 91.
Reward for episode 746: 90.
Reward for episode 747: 90.
Reward for episode 748: 91.
Reward for episode 749: 90.
Reward for episode 750: 90.
Reward for episode 751: 88.
Reward for episode 752: 88.
Reward for episode 753: 91.
Reward for episode 754: 90.
Reward for episode 755: 88.
Reward for episode 756: 91.
Reward for episode 757: 91.
Reward for episode 758: 87.
Reward for episode 759: 90.
Reward for episode 760: 91.
Reward for episode 761: 90.
Reward for episode 762: 91.
Reward for episode 763: 91.
Reward for episode 764: 90.
Reward for episode 765: 89.
Reward for episode 766: 89.
Reward for episode 767: 90.
Reward for episode 768: 87.
